Company,Series  ,Date  ,Prev Close  ,Open,High,Low,Last Price  ,Close,Average Price ,Volume,Turnover ₹  ,No. of Trades  ,Deliverable Qty  ,% Dly Qt to Traded Qty  
INFY,EQ,19-12-2023,1564.35,1570.1,1573.95,1543.25,1555,1558.3,1557.15,4221721,6573862521,164124,"21,66,832",51.33
INFY,EQ,20-12-2023,1558.3,1565.05,1583.5,1530,1531,1536.4,1561.35,6592367,10293014667,313361,"39,99,159",60.66
INFY,EQ,21-12-2023,1536.4,1521.25,1546.65,1521.25,1540.05,1536,1536.05,5319038,8170301359,234678,"27,41,399",51.54
INFY,EQ,22-12-2023,1536,1534.95,1566,1523,1560.6,1562.9,1544.96,6741060,10414664839,248721,"29,38,241",43.59
INFY,EQ,26-12-2023,1562.9,1535,1548,1523,1546,1543.95,1539.75,6878067,10590506116,306708,"27,12,704",39.44
INFY,EQ,27-12-2023,1543.95,1544,1570,1544,1568.6,1567.1,1560.67,4225849,6595135370,182574,"24,94,979",59.04
INFY,EQ,28-12-2023,1567.1,1568.95,1568.95,1555,1566,1562.65,1561.64,5702253,8904844135,236913,"33,90,265",59.45
INFY,EQ,29-12-2023,1562.65,1541.05,1559.45,1540,1542.65,1542.9,1544.62,4388990,6779338989,218692,"25,43,904",57.96
INFY,EQ,01-01-2024,1542.9,1539,1557,1535.25,1548,1551.35,1548.27,2808451,4348239185,144697,"14,47,369",51.54
INFY,EQ,02-01-2024,1551.35,1546,1549.15,1523,1533,1534.4,1533.27,5396313,8273980868,235015,"38,02,441",70.46
INFY,EQ,03-01-2024,1534.4,1519.95,1519.95,1488,1492,1490,1499.65,7550363,11322898630,303866,"54,44,109",72.10
INFY,EQ,04-01-2024,1490,1504.95,1519.75,1492.9,1513,1512.7,1508.26,7056038,10642369199,202211,"42,28,964",59.93
INFY,EQ,05-01-2024,1512.7,1506.75,1539.7,1506.25,1531,1532.55,1530.26,8895403,13612315791,219641,"51,50,237",57.90
INFY,EQ,08-01-2024,1532.55,1528.95,1536,1513.25,1520,1522.8,1523.73,4440136,6765559619,159896,"25,30,960",57.00
INFY,EQ,09-01-2024,1522.8,1541.9,1553,1525.85,1530.05,1529.3,1541.86,4412074,6802782136,142604,"24,15,178",54.74
INFY,EQ,10-01-2024,1529.3,1524.95,1535.45,1505,1519.95,1519.9,1519.11,4096845,6223556848,144590,"20,84,021",50.87
INFY,EQ,11-01-2024,1519.9,1524.9,1525,1486.6,1520.3,1494.2,1499.59,11296088,16939511690,311866,"70,72,608",62.61
INFY,EQ,12-01-2024,1494.2,1562,1618,1555.4,1615,1612.75,1597.81,26754401,42748463415,707055,"1,25,75,224",47.00
INFY,EQ,15-01-2024,1612.75,1644.95,1664.95,1636,1652,1652.1,1648.8,13228305,21810781229,332165,"89,42,618",67.60
INFY,EQ,16-01-2024,1652.1,1644.8,1648.5,1625,1626,1631.55,1637.98,6500917,10648351665,270528,"47,10,032",72.45
INFY,EQ,17-01-2024,1631.55,1620.25,1647.5,1620.25,1641,1640.2,1639.02,9209876,15095210617,295426,"69,66,637",75.64
INFY,EQ,18-01-2024,1640.2,1642.65,1649,1628.25,1646.65,1642.6,1639.29,6375464,10451208678,227265,"43,15,690",67.69
INFY,EQ,19-01-2024,1642.6,1651.6,1665.5,1644.15,1657.85,1659.2,1657.08,4522736,7494549931,189909,"27,62,887",61.09
INFY,EQ,20-01-2024,1659.2,1665.55,1669.25,1645,1649.45,1648.85,1652.55,1158144,1913895855,41544,"6,23,773",53.86
INFY,EQ,23-01-2024,1648.85,1650.1,1674.7,1637.7,1642,1642.15,1658.08,9401255,15588046050,241104,"67,39,466",71.69
INFY,EQ,24-01-2024,1642.15,1659.9,1680,1645,1673,1675.4,1662.71,8999681,14963838639,288491,"63,45,346",70.51
INFY,BL,25-01-2024,1419.1,1675.4,1675.4,1675.4,1675.4,1675.4,1675.4,132935,222719299,1,-,-
INFY,EQ,25-01-2024,1675.4,1672.95,1680.55,1658,1666,1669.1,1669.03,8865304,14796464533,238696,"58,60,225",66.10
