Company,Series  ,Date  ,Prev Close  ,Open,High,Low,Last Price  ,Close,Average Price ,Volume,Turnover ₹  ,No. of Trades  ,Deliverable Qty  ,% Dly Qt to Traded Qty  
INFY,EQ,20-09-2024,1894.2,1905,1915,1867.4,1910,1905.75,1902.04,15242974,28992778818,346786,8354395,54.81
INFY,EQ,23-09-2024,1905.75,1909,1918.9,1878.45,1895,1896.45,1890.26,3636672,6874260634,133793,2304184,63.36
INFY,EQ,24-09-2024,1896.45,1888,1910.9,1871.4,1900,1898.6,1888.94,7277616,13746948536,181532,5676045,77.99
INFY,EQ,25-09-2024,1898.6,1886.35,1901.6,1876.8,1900,1895.3,1889.52,4268341,8065107238,173033,3149517,73.79
INFY,EQ,26-09-2024,1895.3,1897.8,1917.95,1893,1894,1900.25,1902.94,8952803,17036613839,204902,5993852,66.95
INFY,EQ,27-09-2024,1900.25,1932.1,1974.6,1903.3,1908,1906.75,1926.62,14908931,28723892455,301305,8983190,60.25
INFY,EQ,30-09-2024,1906.75,1880,1901.25,1870.5,1877.6,1875.6,1881.3,6986955,13144582074,225929,5119815,73.28
INFY,EQ,01-10-2024,1875.6,1875,1908.95,1875,1906,1904.35,1898.99,4029072,7651153333,153975,2238191,55.55
INFY,EQ,03-10-2024,1904.35,1889.5,1911.85,1881,1889,1893.4,1895.02,7503887,14220032274,279836,4577700,61
INFY,EQ,04-10-2024,1893.4,1889.55,1954.1,1886,1922,1918.15,1926.6,10001483,19268903580,317341,4933263,49.33
INFY,EQ,07-10-2024,1918.15,1923.2,1942,1916.05,1930.15,1934.3,1932.07,6112575,11809911119,232953,3586241,58.67
INFY,EQ,08-10-2024,1934.3,1937.9,1957.95,1906.35,1945.95,1948.55,1937.77,5637391,10923947723,301214,3481309,61.75
INFY,EQ,09-10-2024,1948.55,1952.55,1977,1945.1,1959,1952.75,1961.35,4857163,9526613749,240629,2544632,52.39
INFY,EQ,10-10-2024,1952.75,1957.9,1964,1914.1,1917.55,1919,1934.31,4782119,9250080166,187711,2180497,45.6
INFY,EQ,11-10-2024,1919,1918,1947,1910.1,1935,1935.1,1932.54,4709431,9101157286,209438,2707269,57.49
INFY,EQ,14-10-2024,1935.1,1932.15,1969.5,1931.1,1966,1958.9,1957.08,3751378,7341734867,242164,2457354,65.51
INFY,EQ,15-10-2024,1958.9,1960,1991.45,1951.75,1960,1959.3,1965.59,5353705,10523164056,184609,3191676,59.62
INFY,EQ,16-10-2024,1959.3,1955,1959.55,1916.35,1918.1,1920.1,1937.33,3111512,6028023138,139457,1736836,55.82
